metric_name,metric_value,metric_source,metric_schema,observation_level,episode_index,source_line_start,source_line_end,trajectory_id,benchmark,base_model,harness_family,agent_model,batch_id,configuration_id,checkpoint_reference,evaluation_sample_size,metric_value_raw,source_reference,normalized_progress
accuracy,0.09,metrics.json,top_level_metrics,final_only,4,,,00d12f1fbd8996f34d75,BFCL,Gemma-3-4B-PT,OpenCode,MiniMax M2.5,opencode_opencode_minimax-m2.5-free_10h_run2,opencode_opencode_minimax-m2.5-free_10h_run2::BFCL::Gemma-3-4B-PT,,,0.09,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/metrics.json,1.0
accuracy,0.34146341463414637,metrics.json,top_level_metrics,final_only,1,,,011f845d1ff07c53f848,HumanEval,SmolLM3-3B-Base,OpenCode,Gemini 3.1 Pro,opencode_opencode_gemini-3.1-pro_10h_run3,opencode_opencode_gemini-3.1-pro_10h_run3::HumanEval::SmolLM3-3B-Base,,,0.34146341463414637,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/metrics.json,1.0
accuracy,0.40106141015921154,metrics.json,top_level_metrics,final_only,4,,,016546b4c3aa0dcedeef,GSM8K,Qwen3-1.7B-Base,OpenCode,Claude Opus 4.5,opencode_anthropic_claude-opus-4-5_10h,opencode_anthropic_claude-opus-4-5_10h::GSM8K::Qwen3-1.7B-Base,,,0.40106141015921154,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203/metrics.json,1.0
accuracy,0.28348214285714285,metrics.json,top_level_metrics,final_only,12,,,018632f9db83dc24aad2,GPQA Main,SmolLM3-3B-Base,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run3,claude_claude-opus-4-6_10h_run3::GPQA Main::SmolLM3-3B-Base,,,0.28348214285714285,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/metrics.json,1.0
accuracy,0.4024390243902439,metrics.json,top_level_metrics,final_only,7,,,018f37fa6e420f8abf9c,HumanEval,SmolLM3-3B-Base,Claude,Claude Opus 4.6,claude_non_api_claude-opus-4-6_1m__10h_run2,claude_non_api_claude-opus-4-6_1m__10h_run2::HumanEval::SmolLM3-3B-Base,,,0.4024390243902439,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/metrics.json,1.0
accuracy,0.25669642857142855,metrics.json,top_level_metrics,final_only,0,,,01b2ef1928cc75093f72,GPQA Main,Qwen3-1.7B-Base,Claude,Claude Opus 4.8,claude_non_api_claude-opus-4-8_10h_run1,claude_non_api_claude-opus-4-8_10h_run1::GPQA Main::Qwen3-1.7B-Base,,,0.25669642857142855,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/metrics.json,1.0
accuracy,0.19147932757404978,metrics.json,top_level_metrics,final_only,8,,,01d23585705e59058368,HealthBench,SmolLM3-3B-Base,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run3,codex_non_api_high_gpt-5.4_10h_run3::HealthBench::SmolLM3-3B-Base,,,0.19147932757404978,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/metrics.json,1.0
by_axis.accuracy,0.3105924596050269,metrics.json,top_level_metrics,final_only,8,,,01d23585705e59058368,HealthBench,SmolLM3-3B-Base,Codex,GPT-5.4 Codex,codex_non_api_high_gpt-5.4_10h_run3,codex_non_api_high_gpt-5.4_10h_run3::HealthBench::SmolLM3-3B-Base,,,0.3105924596050269,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/metrics.json,1.0
accuracy,0.8339651250947687,metrics.json,top_level_metrics,final_only,0,,,01ed5927a18f10b998ab,GSM8K,Qwen3-4B-Base,Claude,Claude Opus 4.8,claude_non_api_claude-opus-4-8_10h_run2,claude_non_api_claude-opus-4-8_10h_run2::GSM8K::Qwen3-4B-Base,,,0.8339651250947687,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/metrics.json,1.0
accuracy,0.0,task/eval_v3_10.json,workspace_json,intermediate,7,,,0215fef30908bf5786ea,AIME 2025,Gemma-3-4B-PT,Claude,Claude Opus 4.6,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2::AIME 2025::Gemma-3-4B-PT,,,0.0,task/eval_v3_10.json,1.0
