trajectory_id,batch_id,task_dir,absolute_task_dir,source_path,solve_out_path,trace_path,duplicate_content_hash,total_duration,workspace_status,metrics_path,judgement_log_path,judge_output_path,contamination_path,disallowed_path,scaffold_family,agent_model,effort_or_mode,budget_hours,benchmark,base_model,run_replicate,raw_task_name,inventory_reasons,harness_family,batch_run,configuration_id,cell_id,duplicate_group_size,duplicate_group_id,source_format,parser_confidence,behavior_status,trajectory_status,metrics_status,contamination_status,disallowed_model_status,terminal_event,event_count,command_call_count,activity_count,training_count,evaluation_count,checkpoint_count,debug_count,data_preparation_count,monitoring_count,training_experiment_count,initial_objective,initial_objective_signature,known_objective_count,valid_objective_pair_count,same_objective_count,objective_change_count,objective_change_rate,within_objective_rate,observed_objective_change,first_objective_change_progress,episode_count,final_metric,best_metric,evaluation_point_count,workspace_metric_count,unknown_evidence,parse_lines,json_lines,malformed_json_lines,filter_reasons,consistency_check_status,consistency_checker,review_correction_count,review_corrections
00d12f1fbd8996f34d75,opencode_opencode_minimax-m2.5-free_10h_run2,opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/solve_out.txt,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/solve_out.txt,,2aae9452b925548882e956687b42b1630d89275f27182badd044790a2ef47525,01:06:34,present,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/metrics.json,,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/judge_output.json,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/contamination_judgement.txt,data/PostTrainBench-Trajectories/opencode_opencode_minimax-m2.5-free_10h_run2/bfcl_google_gemma-3-4b-pt_16852887/disallowed_model_judgement.txt,other,MiniMax M2.5,,10,BFCL,Gemma-3-4B-PT,16852887,bfcl_google_gemma-3-4b-pt_16852887,[],OpenCode,run2,opencode_opencode_minimax-m2.5-free_10h_run2::BFCL::Gemma-3-4B-PT,BFCL__Gemma-3-4B-PT,1,,opencode_jsonl,high,complete,complete,valid,clean,clean,True,265,83,32,4,13,13,0,2,4,4,supervised_likelihood,supervised_likelihood,4,3,3,0,0.0,1.0,False,,5,0.09,0.09,1,0,False,278,265,0,[],checked,deterministic_rules,0,[]
011f845d1ff07c53f848,opencode_opencode_gemini-3.1-pro_10h_run3,opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/solve_out.txt,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/solve_out.txt,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/trace.txt,c48222159d8c5c1c0d7312dd081dc3985567922280426547d7be3d6ed54b1ac7,02:28:41,present,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/metrics.json,,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/judge_output.json,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/contamination_judgement.txt,data/PostTrainBench-Trajectories/opencode_opencode_gemini-3.1-pro_10h_run3/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018/disallowed_model_judgement.txt,other,Gemini 3.1 Pro,,10,HumanEval,SmolLM3-3B-Base,16872018,humaneval_HuggingFaceTB_SmolLM3-3B-Base_16872018,[],OpenCode,run3,opencode_opencode_gemini-3.1-pro_10h_run3::HumanEval::SmolLM3-3B-Base,HumanEval__SmolLM3-3B-Base,1,,opencode_jsonl,high,complete,complete,valid,clean,clean,True,180,59,7,1,6,0,0,0,5,1,supervised_likelihood,supervised_likelihood,1,0,0,0,,,False,,2,0.34146341463414637,0.34146341463414637,1,0,False,193,180,0,[],checked,deterministic_rules,0,[]
016546b4c3aa0dcedeef,opencode_anthropic_claude-opus-4-5_10h,opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203/solve_out.txt,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203/solve_out.txt,,8a31638bc270b5465ed3e8ba2032c991598f5120df54e0c9d448beb22c3e30af,03:33:13,present,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203/metrics.json,,,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203/contamination_judgement.txt,data/PostTrainBench-Trajectories/opencode_anthropic_claude-opus-4-5_10h/gsm8k_Qwen_Qwen3-1.7B-Base_16787203/disallowed_model_judgement.txt,claude,Claude Opus 4.5,,10,GSM8K,Qwen3-1.7B-Base,16787203,gsm8k_Qwen_Qwen3-1.7B-Base_16787203,[],OpenCode,single,opencode_anthropic_claude-opus-4-5_10h::GSM8K::Qwen3-1.7B-Base,GSM8K__Qwen3-1.7B-Base,1,,opencode_jsonl,high,complete,complete,valid,clean,clean,True,290,91,18,4,7,5,2,0,18,4,supervised_likelihood,supervised_likelihood,4,3,3,0,0.0,1.0,False,,5,0.40106141015921154,0.40106141015921154,1,0,False,300,290,0,[],checked,deterministic_rules,0,[]
01747fad9b0212908cb8,opencode_zai_glm-5_10h_run1,opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744/trace.txt,,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744/trace.txt,86f50f0568f804f5f47db9680c994742567a732788f252d4e987ddf596ada66a,,missing,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744/metrics.json,,,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744/contamination_judgement.txt,data/PostTrainBench-Trajectories/opencode_zai_glm-5_10h_run1/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744/disallowed_model_judgement.txt,other,GLM-5,,10,GPQA Main,SmolLM3-3B-Base,16853744,gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16853744,[],OpenCode,run1,opencode_zai_glm-5_10h_run1::GPQA Main::SmolLM3-3B-Base,GPQA Main__SmolLM3-3B-Base,2,86f50f0568f804f5f47db9680c994742567a732788f252d4e987ddf596ada66a,opencode_jsonl,high,complete,complete,invalid,clean,clean,True,157,59,6,4,2,0,0,0,3,4,supervised_likelihood,supervised_likelihood,4,3,3,0,0.0,1.0,False,,5,,,0,0,True,170,157,0,"['missing_evaluation_points', 'invalid_metrics']",checked,deterministic_rules,0,[]
018632f9db83dc24aad2,claude_claude-opus-4-6_10h_run3,claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/solve_out.txt,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/solve_out.txt,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/trace.txt,2fc14d15a995c94b7911fffab2557dd525a13cf1827d3a9a0e69ac9f281e13a6,10:05:00,present,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/metrics.json,,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/judge_output.json,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/contamination_judgement.txt,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run3/gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577/disallowed_model_judgement.txt,claude,Claude Opus 4.6,,10,GPQA Main,SmolLM3-3B-Base,16852577,gpqamain_HuggingFaceTB_SmolLM3-3B-Base_16852577,[],Claude,run3,claude_claude-opus-4-6_10h_run3::GPQA Main::SmolLM3-3B-Base,GPQA Main__SmolLM3-3B-Base,1,,claude_jsonl,high,partial,incomplete,valid,clean,clean,False,603,190,32,12,8,6,0,6,47,12,supervised_likelihood,supervised_likelihood,12,11,11,0,0.0,1.0,False,,13,0.28348214285714285,0.28348214285714285,1,0,False,509,499,0,[],checked,deterministic_rules,0,[]
018f37fa6e420f8abf9c,claude_non_api_claude-opus-4-6_1m__10h_run2,claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/solve_out.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/solve_out.txt,,a813e373b9c75127cf442d20aa927429397e27ae65385578921ef77553945da2,09:33:24,present,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/metrics.json,,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/judge_output.json,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/contamination_judgement.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-6_1m__10h_run2/humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441/disallowed_model_judgement.txt,claude,Claude Opus 4.6,1m,10,HumanEval,SmolLM3-3B-Base,16961441,humaneval_HuggingFaceTB_SmolLM3-3B-Base_16961441,[],Claude,run2,claude_non_api_claude-opus-4-6_1m__10h_run2::HumanEval::SmolLM3-3B-Base,HumanEval__SmolLM3-3B-Base,1,,claude_jsonl,high,complete,complete,valid,clean,clean,True,447,124,42,7,24,4,0,7,16,7,supervised_likelihood,supervised_likelihood,7,6,6,0,0.0,1.0,False,,8,0.4024390243902439,0.4024390243902439,1,0,False,380,370,0,[],checked,deterministic_rules,0,[]
01b2ef1928cc75093f72,claude_non_api_claude-opus-4-8_10h_run1,claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/solve_out.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/solve_out.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/trace.txt,4052bda872a501005bf044675aaf888262d812432223d451cff4fd26f8b403c5,10:05:00,present,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/metrics.json,,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/judge_output.json,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/contamination_judgement.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run1/gpqamain_Qwen_Qwen3-1.7B-Base_17305155/disallowed_model_judgement.txt,claude,Claude Opus 4.8,,10,GPQA Main,Qwen3-1.7B-Base,17305155,gpqamain_Qwen_Qwen3-1.7B-Base_17305155,[],Claude,run1,claude_non_api_claude-opus-4-8_10h_run1::GPQA Main::Qwen3-1.7B-Base,GPQA Main__Qwen3-1.7B-Base,1,,claude_jsonl,high,complete,complete,valid,clean,clean,True,1969,323,28,0,4,6,14,4,129,0,no_parameter_update,,0,0,0,0,,,False,,1,0.25669642857142855,0.25669642857142855,1,0,False,1849,1839,0,[],checked,deterministic_rules,0,[]
01d23585705e59058368,codex_non_api_high_gpt-5.4_10h_run3,codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/solve_out.txt,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/solve_out.txt,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/trace.txt,2acee9b53ff1285beefcc431cbeac3bbace1e7e321c89dcdece7bace1b65199b,02:10:47,present,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/metrics.json,,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/judge_output.json,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/contamination_judgement.txt,data/PostTrainBench-Trajectories/codex_non_api_high_gpt-5.4_10h_run3/healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782/disallowed_model_judgement.txt,codex,GPT-5.4 Codex,high,10,HealthBench,SmolLM3-3B-Base,16936782,healthbench_HuggingFaceTB_SmolLM3-3B-Base_16936782,[],Codex,run3,codex_non_api_high_gpt-5.4_10h_run3::HealthBench::SmolLM3-3B-Base,HealthBench__SmolLM3-3B-Base,1,,codex_jsonl,high,complete,complete,valid,clean,clean,True,627,119,34,8,7,13,6,0,5,8,supervised_likelihood,supervised_likelihood,8,7,7,0,0.0,1.0,False,,9,0.3105924596050269,0.3105924596050269,2,0,False,637,627,0,[],checked,deterministic_rules,0,[]
01ed5927a18f10b998ab,claude_non_api_claude-opus-4-8_10h_run2,claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/solve_out.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/solve_out.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/trace.txt,1997b16357df0c263343ddb3ce5c63b5281c264065baf65be2be9f02a01a0b65,10:05:01,present,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/metrics.json,,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/judge_output.json,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/contamination_judgement.txt,data/PostTrainBench-Trajectories/claude_non_api_claude-opus-4-8_10h_run2/gsm8k_Qwen_Qwen3-4B-Base_17310168/disallowed_model_judgement.txt,claude,Claude Opus 4.8,,10,GSM8K,Qwen3-4B-Base,17310168,gsm8k_Qwen_Qwen3-4B-Base_17310168,[],Claude,run2,claude_non_api_claude-opus-4-8_10h_run2::GSM8K::Qwen3-4B-Base,GSM8K__Qwen3-4B-Base,1,,claude_jsonl,high,complete,complete,valid,clean,clean,True,875,189,11,0,11,0,0,0,70,0,no_parameter_update,,0,0,0,0,,,False,,1,0.8339651250947687,0.8339651250947687,1,0,False,803,792,0,[],checked,deterministic_rules,0,[]
0215fef30908bf5786ea,claude_claude-opus-4-6_10h_run2,claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/solve_out.txt,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/solve_out.txt,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/trace.txt,2f2522bbd051504831443f1dc2c2c96c338d9979cc322740cf5a6d6407e51d60,10:05:00,present,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/metrics.json,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/judgement.log,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/judge_output.json,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/contamination_judgement.txt,data/PostTrainBench-Trajectories/claude_claude-opus-4-6_10h_run2/aime2025_google_gemma-3-4b-pt_16855644/disallowed_model_judgement.txt,claude,Claude Opus 4.6,,10,AIME 2025,Gemma-3-4B-PT,16855644,aime2025_google_gemma-3-4b-pt_16855644,[],Claude,run2,claude_claude-opus-4-6_10h_run2::AIME 2025::Gemma-3-4B-PT,AIME 2025__Gemma-3-4B-PT,1,,claude_jsonl,high,partial,incomplete,valid,clean,clean,False,670,234,45,7,28,1,0,9,31,7,supervised_likelihood,supervised_likelihood,7,6,6,0,0.0,1.0,False,,8,0.0,0.0,3,2,False,588,578,0,[],checked,deterministic_rules,0,[]
